subject,roi,brain_metric,comparator,level,split_mode,n_repeats,n_splits,n_stimuli,n_voxels,rdm_cv,degenerate_rdm,r_hh,r_sb,r_sb_lo,r_sb_hi,ceiling_one_sided
02,LOC,mahalanobis,spearman,L3,alternating,12,1,100,1175,2.943769549008881e-16,True,0.011327927934847928,0.022402086646573255,,,0.1496732663055539
02,LOC,mahalanobis,kendall,L3,alternating,12,1,100,1175,2.943769549008881e-16,True,0.008615834547449595,0.017084472109870033,,,0.1307075824497953
02,FFA,correlation,l1_r0,L1,all,12,462,100,400,0.15184003397546822,False,0.9921804769104702,0.996074892219777,0.9954632537101974,0.9966541138080158,0.9980355165122016
02,FFA,correlation,pearson,L2,all,12,462,100,400,0.15184003397546822,False,0.422279832608032,0.5938069610868323,0.5309777872649267,0.6547091636649711,0.7705887107185209
02,FFA,correlation,spearman,L3,all,12,462,100,400,0.15184003397546822,False,0.3631668380491668,0.5328281585383873,0.46379675131710896,0.6002499492359937,0.7299507918609222
02,FFA,correlation,kendall,L3,all,12,462,100,400,0.15184003397546822,False,0.24643714976674802,0.39542651599058165,0.33980107086913547,0.45384936253035146,0.6288294808535789
02,FFA,correlation,l1_r0,L1,contiguous,12,1,100,400,0.15184003397546822,False,0.9925160887296298,0.9962439895403095,,,0.9981202279987664
02,FFA,correlation,pearson,L2,contiguous,12,1,100,400,0.15184003397546822,False,0.4435855599525646,0.6145608161488406,,,0.7839392936629983
02,FFA,correlation,spearman,L3,contiguous,12,1,100,400,0.15184003397546822,False,0.3910531976944288,0.5622404640492132,,,0.7498269560700077
02,FFA,correlation,kendall,L3,contiguous,12,1,100,400,0.15184003397546822,False,0.26550940808366547,0.4196087463082883,,,0.6477721407318227
02,FFA,correlation,l1_r0,L1,alternating,12,1,100,400,0.15184003397546822,False,0.9924027327047278,0.9961868817129362,,,0.9980916198991635
02,FFA,correlation,pearson,L2,alternating,12,1,100,400,0.15184003397546822,False,0.43492079627540436,0.6061948469968792,,,0.778585157190194
02,FFA,correlation,spearman,L3,alternating,12,1,100,400,0.15184003397546822,False,0.3678405164825321,0.5378412352171754,,,0.7333765984930085
02,FFA,correlation,kendall,L3,alternating,12,1,100,400,0.15184003397546822,False,0.2492521088843578,0.3990421262637722,,,0.6316978124576436
02,FFA,euclidean_centered,l1_r0,L1,all,12,462,100,400,0.11413283337914046,False,0.9973408279815735,0.9986686438382609,0.9982788946770226,0.9989019614126895,0.9993341002078638
02,FFA,euclidean_centered,pearson,L2,all,12,462,100,400,0.11413283337914046,False,0.5574925376427441,0.7158846982169248,0.6367591232916232,0.7637935642569003,0.8460996975634283
02,FFA,euclidean_centered,spearman,L3,all,12,462,100,400,0.11413283337914046,False,0.3161556066731817,0.4804228391691792,0.39808584545015396,0.5447128327299964,0.6931254137377876
02,FFA,euclidean_centered,kendall,L3,all,12,462,100,400,0.11413283337914046,False,0.2155330652775499,0.35463134888615466,0.2877621857756184,0.4088308286298398,0.5955093188911108
02,FFA,euclidean_centered,l1_r0,L1,contiguous,12,1,100,400,0.11413283337914046,False,0.9971519383420907,0.9985739384153848,,,0.9992867148198182
02,FFA,euclidean_centered,pearson,L2,contiguous,12,1,100,400,0.11413283337914046,False,0.5533588230507347,0.7124674799399665,,,0.8440778873658322
02,FFA,euclidean_centered,spearman,L3,contiguous,12,1,100,400,0.11413283337914046,False,0.34180997095500953,0.509475974025938,,,0.7137758569928925
02,FFA,euclidean_centered,kendall,L3,contiguous,12,1,100,400,0.11413283337914046,False,0.2330632246898159,0.37802315408189113,,,0.6148358757277352
02,FFA,euclidean_centered,l1_r0,L1,alternating,12,1,100,400,0.11413283337914046,False,0.9966623733342673,0.9983283970738833,,,0.9991638489626631
02,FFA,euclidean_centered,pearson,L2,alternating,12,1,100,400,0.11413283337914046,False,0.46173092413272715,0.6317591240763835,,,0.794832764848294
02,FFA,euclidean_centered,spearman,L3,alternating,12,1,100,400,0.11413283337914046,False,0.1861467277647513,0.31386796153885244,,,0.5602392002875668
02,FFA,euclidean_centered,kendall,L3,alternating,12,1,100,400,0.11413283337914046,False,0.12504213686674787,0.22228880638193926,,,0.4714751386679252
02,FFA,mahalanobis,l1_r0,L1,contiguous,12,1,100,400,2.031967590268047e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
02,FFA,mahalanobis,pearson,L2,contiguous,12,1,100,400,2.031967590268047e-16,True,0.05506200995803351,0.10437682228786473,,,0.32307401982806466
02,FFA,mahalanobis,spearman,L3,contiguous,12,1,100,400,2.031967590268047e-16,True,0.013849281335453196,0.02732019756863816,,,0.16528822574109192
02,FFA,mahalanobis,kendall,L3,contiguous,12,1,100,400,2.031967590268047e-16,True,0.011046475623931806,0.021851568429858498,,,0.14782276018887788
02,FFA,mahalanobis,l1_r0,L1,alternating,12,1,100,400,2.031967590268047e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
02,FFA,mahalanobis,pearson,L2,alternating,12,1,100,400,2.031967590268047e-16,True,-0.031129636328477067,-0.06425965226247952,,,
02,FFA,mahalanobis,spearman,L3,alternating,12,1,100,400,2.031967590268047e-16,True,-0.016565534467512463,-0.03368914767196599,,,
02,FFA,mahalanobis,kendall,L3,alternating,12,1,100,400,2.031967590268047e-16,True,-0.013055061430677483,-0.02645550105277834,,,
02,PPA,correlation,l1_r0,L1,all,12,462,100,1196,0.1229788823611646,False,0.9953279678307089,0.997658514166786,0.9972267861173912,0.9980707108568515,0.9988285709603956
02,PPA,correlation,pearson,L2,all,12,462,100,1196,0.1229788823611646,False,0.4462879603192807,0.6171495201007672,0.5460783104284971,0.6851131891134048,0.7855886456032617
02,PPA,correlation,spearman,L3,all,12,462,100,1196,0.1229788823611646,False,0.4263230312649418,0.5977930972436939,0.5235246184628307,0.6721358122062512,0.7731708072888512
02,PPA,correlation,kendall,L3,all,12,462,100,1196,0.1229788823611646,False,0.29079162072934917,0.45056322966373175,0.3879540263657117,0.5178982058547956,0.6712400685773546
02,PPA,correlation,l1_r0,L1,contiguous,12,1,100,1196,0.1229788823611646,False,0.9959362910259708,0.9979640086748759,,,0.9989814856516991
02,PPA,correlation,pearson,L2,contiguous,12,1,100,1196,0.1229788823611646,False,0.5017251449033544,0.6681983671994034,,,0.8174340139726285
02,PPA,correlation,spearman,L3,contiguous,12,1,100,1196,0.1229788823611646,False,0.47645321594637036,0.6454023883729706,,,0.803369397209634
02,PPA,correlation,kendall,L3,contiguous,12,1,100,1196,0.1229788823611646,False,0.32633573561437773,0.4920861692129774,,,0.7014885381907372
02,PPA,correlation,l1_r0,L1,alternating,12,1,100,1196,0.1229788823611646,False,0.9955158106207314,0.9977528670254565,,,0.9988758016017089
02,PPA,correlation,pearson,L2,alternating,12,1,100,1196,0.1229788823611646,False,0.4621046925603336,0.6321088974157231,,,0.7950527639193031
02,PPA,correlation,spearman,L3,alternating,12,1,100,1196,0.1229788823611646,False,0.45070500055747553,0.6213599599977653,,,0.7882638898222887
02,PPA,correlation,kendall,L3,alternating,12,1,100,1196,0.1229788823611646,False,0.30995581190772137,0.47323094273893856,,,0.6879178313860883
02,PPA,euclidean_centered,l1_r0,L1,all,12,462,100,1196,0.04483380130175216,False,0.9990175250886207,0.9995085211114716,0.9994350423433712,0.9995753738454595,0.9997542303543765
02,PPA,euclidean_centered,pearson,L2,all,12,462,100,1196,0.04483380130175216,False,0.19579262889780036,0.32746920187703205,0.2291396506517268,0.42447093563312843,0.5722492480353575
02,PPA,euclidean_centered,spearman,L3,all,12,462,100,1196,0.04483380130175216,False,0.1428263267650532,0.24995281158659552,0.1346656826966493,0.3421389870696515,0.499952809359639
02,PPA,euclidean_centered,kendall,L3,all,12,462,100,1196,0.04483380130175216,False,0.09551454588872615,0.17437385244618703,0.09212607209349287,0.24385435349158002,0.41758095316499655
02,PPA,euclidean_centered,l1_r0,L1,contiguous,12,1,100,1196,0.04483380130175216,False,0.9989393363903085,0.9994693867940951,,,0.9997346581939105
02,PPA,euclidean_centered,pearson,L2,contiguous,12,1,100,1196,0.04483380130175216,False,0.17193563238406445,0.29342163107421937,,,0.5416840694299763
02,PPA,euclidean_centered,spearman,L3,contiguous,12,1,100,1196,0.04483380130175216,False,0.12203730442747776,0.2175280696032608,,,0.46639904545706434
02,PPA,euclidean_centered,kendall,L3,contiguous,12,1,100,1196,0.04483380130175216,False,0.0813763825362128,0.15050519661869477,,,0.38794999242002154
02,PPA,euclidean_centered,l1_r0,L1,alternating,12,1,100,1196,0.04483380130175216,False,0.9990392746505669,0.999519406466088,,,0.9997596743548361
02,PPA,euclidean_centered,pearson,L2,alternating,12,1,100,1196,0.04483380130175216,False,0.22202169698396762,0.36336784777542364,,,0.6028000064494223
02,PPA,euclidean_centered,spearman,L3,alternating,12,1,100,1196,0.04483380130175216,False,0.16741736948891817,0.2868166499222323,,,0.535552658402731
02,PPA,euclidean_centered,kendall,L3,alternating,12,1,100,1196,0.04483380130175216,False,0.1119967506954777,0.2014335934442819,,,0.4488135397292309
